CASEID,POINT_X,POINT_Y,YEAR_,LOCATION,CHPTYPE,DAYWEEK,CRASHSEV,VIOLCAT,KILLED,INJURED,WEATHER1,PEDCOL,BICCOL,MCCOL,TRUCKCOL,ETOH,TIMECAT,MONTH_,CRASHTYP,INVOLVE,PED,PRIMARYRD,SECONDRD,DISTANCE,DIRECT,INTERSECT_,PROCDATE,JURIS,DATE_,TIME_,BADGE,JURIDIST,SHIFT,POP,SPECIAL,BEATTYPE,LAPDDIV,BEATCLAS,BEATNUMB,WEATHER2,STATEHW,CALTRANC,CALTRAND,STROUTE,ROUTESUF,POSTPRE,POSTMILE,LOCATYPE,RAMP,SIDEHW,TOWAWAY,PARTIES,PCF,VIOLCODE,VIOL,VIOLSUB,HITRUN,ROADSURF,RDCOND1,RDCOND2,LIGHTING,RIGHTWAY,CHPRDTYP,NOTPRIV,STFAULT,CHPFAULT,SEVINJ,OTHERINJ,COP,PEDKILL,PEDINJ,BICKILL,BICINJ,MCKILL,MCINJURE,RAMP1,RAMP2,CITY,COUNTY,STATE,X_CHP,Y_CHP
6051044,-122.2720631,37.80294418,2013,109,0,2,4,10,0,1,A,Y,,,,,2100,3,G,B,B,12TH ST,BROADWAY,0,,Y,2/11/14,109,3/12/13,1848,8776,1,5,7,0,0,,0,03X,-,N,,0,0,,,0,,,,N,2,A,-,21950,A,N,A,H,-,B,A,0,Y,A,1,0,0,1,0,1,0,0,0,0,-,-,OAKLAND,ALAMEDA,CA,0,0
6050701,-122.2771431,37.81381607,2013,109,0,7,4,8,0,1,A,,Y,,,,1800,3,D,G,A,W GRAND AV,CURTIS ST,0,,Y,2/11/14,109,3/17/13,1708,9046,1,5,7,0,0,,0,07X,-,N,,0,0,,,0,,,,N,2,A,-,22100,B,M,A,H,-,A,D,0,Y,L,4,0,0,1,0,0,0,1,0,0,-,-,OAKLAND,ALAMEDA,CA,0,0
6050576,0,0,2013,109,1,3,2,3,0,1,A,,,Y,,Y,1800,4,B,C,A,RT 80,SFOBB TP,60,W,N,2/20/14,9335,4/10/13,1509,20435,,2,7,0,1,,1,82,-,Y,,0,0,,,0,,,,Y,2,A,-,22350,,F,A,H,-,A,D,0,Y,-,99,1,0,0,0,0,0,0,0,1,-,-,OAKLAND,ALAMEDA,CA,-122.31435,37.82522
6047977,-122.1962032,37.74553299,2013,109,0,5,4,9,0,3,A,,,,,,2100,4,D,C,A,HEGENBERGER RD,COLLINS DR,0,,Y,2/14/14,109,4/5/13,1840,9124,2,5,7,0,0,,0,31Z,-,N,,0,0,,,0,,,,N,2,A,-,21801,A,N,A,H,-,B,D,0,Y,A,1,0,0,3,0,0,0,0,0,0,-,-,OAKLAND,ALAMEDA,CA,0,0
6047796,-122.1726632,37.74714661,2013,109,0,3,4,12,0,3,A,,,,,,2100,3,D,C,A,INTERNATIONAL BL,94TH AV,0,,Y,2/11/14,109,3/20/13,2010,8217,2,5,7,0,0,,0,34X,-,N,,0,0,,,0,,,,Y,4,A,-,21453,A,F,A,H,-,C,A,0,Y,A,1,0,0,3,0,0,0,0,0,0,-,-,OAKLAND,ALAMEDA,CA,0,0
6047795,-122.1891031,37.74703598,2013,109,0,4,4,12,0,1,A,,,,,,2100,3,D,C,A,SAN LEANDRO ST,85TH AV,0,,Y,2/11/14,109,3/21/13,1803,8217,2,5,7,0,0,,0,33X,-,N,,0,0,,,0,,,,N,2,A,-,21457,A,N,A,H,-,A,A,0,Y,A,8,0,0,1,0,0,0,0,0,0,-,-,OAKLAND,ALAMEDA,CA,0,0
6047794,-122.2468531,37.83814621,2013,109,0,1,4,8,0,2,B,,,,,,1800,3,D,C,A,BROADWAY TR,CARLTON ST,0,,Y,2/11/14,109,3/25/13,1739,8704,1,5,7,0,0,,0,13X,-,N,,0,0,,,0,,,,N,2,A,-,22107,,N,A,H,-,A,D,0,Y,A,1,0,0,2,0,0,0,0,0,0,-,-,OAKLAND,ALAMEDA,CA,0,0
6047098,-122.2729832,37.83465576,2013,109,0,4,3,21,0,1,B,Y,,,,,1200,4,G,B,E,MARKET ST,45TH ST,80,N,N,2/19/14,109,4/25/13,1013,8259,1,5,7,0,0,,0,10Y,-,N,,0,0,,,0,,,,N,3,A,-,22106,,N,A,H,-,A,D,0,Y,A,7,0,1,0,0,1,0,0,0,0,-,-,OAKLAND,ALAMEDA,CA,0,0
6047094,-122.1753826,37.76714325,2013,109,0,2,4,22,0,1,A,,,Y,,,1200,4,F,A,A,73RD AV,GARFIELD AV,120,N,N,2/19/14,109,4/23/13,1135,8653,2,5,7,0,0,,0,30Y,-,N,,0,0,,,0,,,,N,1,B,-,0,,N,A,H,-,A,D,0,Y,C,2,0,0,1,0,0,0,0,0,1,-,-,OAKLAND,ALAMEDA,CA,0,0
6047090,-122.2601152,37.81440353,2013,109,0,1,3,9,0,1,A,,,,,,1200,4,D,C,A,HARRISON ST,HAMILTON PL,200,S,N,2/15/14,109,4/22/13,1100,8101,1,5,7,0,0,,0,08X,-,N,,0,0,,,0,,,,Y,3,A,-,21801,A,N,A,H,-,A,D,0,Y,A,1,0,1,0,0,0,0,0,0,0,-,-,OAKLAND,ALAMEDA,CA,0,0
